, 0001, 0002, 0003, ...
el.no.001,-2141.9205446028,-2141.6773804533,-2143.2840691608, ...
el.no.002,-3317.233541923,-3317.3878146009,-3319.0908500376, ...
el.no.003,-3287.0749444211,-3288.6908321708,-3289.8777628499, ...
el.no.004,-5812.5518122058,-5812.0515496718,-5811.7581780145, ...
el.no.005,-883.0296469651,-883.3318303143,-882.1871247327, ...
el.no.006,-3551.940537148,-3553.6968559865,-3554.1357234918, ...
el.no.007,-2206.4228542083,-2205.6274913951,-2205.5218340851, ...
el.no.008,145.0368110226,145.6313461333,146.2948192839, ...
el.no.009,2913.3020341128,2913.6522656245,2915.09364046, ...
..., ..., ..., ..., ...
